word 1,word 2,kor_score
사랑,섹스,6.42
호랑이,고양이,7.17
호랑이,호랑이,10.00
책,종이,6.17
컴퓨터,키보드,6.67
컴퓨터,인터넷,5.92
비행기,자동차,6.00
기차,자동차,6.75
전화기,의사소통,4.83
텔레비전,라디오,5.58
미디어,라디오,5.17
약물,남용,4.17
빵,버터,5.50
오이,감자,4.50
의사,간호사,6.92
교수,의사,4.00
학생,교수,5.33
영리한,학생,2.92
영리한,멍청한,5.17
회사,주식,4.00 
주식,시장,5.08
주식,전화기,1.08
재고품,저장장치,2.00
재고품,재규어,0.83
주식,달걀,0.42
생식력,달걀,2.42
가축,생명,4.42
재고품,삶,0.75
책,도서관,6.25
은행,돈,6.67
나무,숲,7.58
돈,현금,8.33
교수,오이,0.42
왕,배추,0.67
왕,여왕,8.50
왕,장군,5.50
주교,목사,7.00
예루살렘,이스라엘,7.08
예루살렘,팔레스타인,5.33
성스러운,섹스,3.25
성관계,섹스,9.33
마라도나,미식축구,2.67
미식축구,축구,5.67
미식축구,농구,4.67
미식축구,테니스,4.33
테니스,라켓,6.42
안중근,평화,5.00
안중근,테러,3.42
안중근,싸이,1.83
법,변호사,6.92
영화,스타,6.00
영화,팝콘,6.00
영화,비평,5.83
영화,영화관,7.75
물리학,양성자,4.92
물리학,화학,5.50
우주,화학,3.58
알콜,화학,4.17
보드카,진,6.25
보드카,브랜디,6.67
음료,자동차,1.08
음료,귀,0.50
마시다,입,5.42
마시다,먹다,6.92
아기,엄마,6.25
마시다,엄마,1.42
자동차,차량,8.92
원석,보석,7.33
여행,여정,7.00
소년,사내,6.75
해안,해변,8.50
수용소,정신병원,4.83
마술사,마법사,7.17
한낮,정오,7.42
보일러,난로,7.58
음식,과일,5.08
새,수탉,4.50
새,두루미,6.08
도구,구현하다,3.92
형제,수도승,1.33
두루미,구현하다,0.58
사내,형제,4.83
여정,자동차,3.83
수도승,신탁,2.67
묘지,산림,2.75
음식,수탉,2.92
해안,언덕,3.00
숲,무덤,1.75
해변,산림,2.92
수도승,노예,1.33
해안,숲,2.75
사내,마법사,1.42
화음,미소,1.17
유리잔,마술사,1.42
정오,끈,0.42
수탉,여행,0.50
돈,달러,7.17
돈,현금,8.58
돈,화폐,8.50
돈,부,7.83
돈,재산,7.83
돈,소유물,5.67
돈,은행,6.08
돈,예금,6.33
돈,출금,5.75
돈,세탁,3.67
돈,조작,3.17
호랑이,재규어,5.58
호랑이,고양이과,5.92
호랑이,육식동물,6.50
호랑이,포유류,5.75
호랑이,짐승,6.17
호랑이,유기체,4.67
호랑이,동물,6.75
호랑이,동물원,4.67
심리학,정신과,6.00
심리학,불안,5.42
심리학,공포,4.92
심리학,우울,5.42
심리학,클리닉,5.42
심리학,의사,4.92
심리학,프로이드,6.58
심리학,마음,6.83
심리학,건강,5.92
심리학,과학,5.75
심리학,학문,6.92
심리학,인지,6.58
행성,별,7.67
행성,별자리,6.58
행성,보름달,4.33
행성,태양,5.08
행성,은하계,6.25
행성,우주,6.75
행성,우주인,4.58
전례,예시,7.17
전례,정보,4.08
전례,인지,2.50
선례,법,5.33
선례,수집품,2.25
선례,집단,1.83
선례,선행사건,7.17
컵,커피,4.83
컵,식기,7.08
컵,기사,0.58
컵,공예품,4.67
컵,물체,5.33
컵,개체,3.17
컵,음료,5.75
컵,음식,2.83
컵,물질,2.58
컵,액체,4.67
재규어,고양이,6.00
재규어,자동차,6.17
에너지,비서,0.92
비서,국회위원,3.42
에너지,연구실,3.83
컴퓨터,연구실,4.58
무기,비밀,2.58
국정원,지문,2.25
국정원,수사,5.58
수사,노력,4.50
화성,물,3.33
화성,과학자,5.00
뉴스,보도,7.92
협곡,지형,6.25
이미지,표면,3.08
발견,우주,3.92
물,누수,5.08
서명,휴정,1.83
수요일,뉴스,1.17
마일,킬로미터,7.83
컴퓨터,뉴스,2.92
영토,표면,2.50
대기권,지형,2.67
대통령,메달,1.42
전쟁,군대,7.25
기록,숫자,5.67
피부,눈,3.50
일본어,영어,6.50
영화관,역사,2.58
자원봉사자,좌우명,1.33
편견,인식,5.08
장식,용기,1.58
세기,연도,5.92
세기,민족,3.00
지연되다,인종주의,1.08
지연되다,뉴스,2.17
외교관,정당,2.67
평화,계획,1.92
소수자,평화,3.92
시도,평화,2.33
정부,위기,2.50
배치,출발,2.00
배치,후퇴,2.75
에너지,위기,3.00
발표,뉴스,5.67
발표,노력,1.92
뇌졸중,병원,6.00
장애,죽음,3.50
피해자,비상사태,4.67
치료,회복,7.83
저널,협회,3.67
의사,직원,2.92
의사,책임,5.08
책임,보험,5.67
학교,센터,3.17
이유,고혈압,1.33
이유,기준,3.83
백,퍼센트,5.17
연세대,고려대,6.83
병원,인프라,4.75
죽음,줄,0.92
죽음,수감자,2.00
변호사,증거,5.92
삶,죽음,8.17
삶,용어,1.33
단어,유사도,3.83
이사회,추천,3.75
도지사,인터뷰,3.08
석유수출기구,국가,3.92
평화,대기권,1.83
평화,보험,1.33
영토,킬로미터,3.17
여행,활동,3.92
경쟁,가격,4.67
소비자,확신,2.83
소비자,에너지,2.00
문제,공항,1.08
자동차,항공,3.25
신용,카드,6.00
신용,정보,5.75
호텔,예약,5.50
식료품,돈,3.50
등록,준비,4.50
준비,숙박,2.33
월,호텔,1.25
유형,종류,7.50
도착,호텔,2.42
침대,옷장,5.75
옷장,옷,7.67
상황,결론,4.42
상황,고립,2.08
중도,흥미,1.92
방향,조합,1.50
길거리,장소,5.00
길거리,대로,7.33
길거리,골목,7.17
길거리,아이들,3.17
목록,인접성,1.75
목록,범주,5.00
휴대,전화,5.00
생산,하이킹,0.92
기준,지표,6.17
미디어,거래,1.83
미디어,이득,1.83
배당금,지불,5.25
배당금,산출,4.25
산출,계산,7.83
화폐,시장,6.25
석유수출기구,석유,8.00
석유,재고품,1.75
발표,생산,1.67
발표,경고,2.67
이익,경고,1.33
이익,손실,7.33
달러,엔,7.42
달러,불,8.33
달러,이익,4.17
달러,손실,3.75
컴퓨터,소프트웨어,6.83
네트워크,하드웨어,4.92
전화,장비,3.75
장비,제작자,3.42
사치품,자동차,3.58
다섯,월,1.58
보도,이득,1.58
투자자,소득,4.92
액체,물,7.17
야구,계절,2.67
게임,승리,6.17
게임,팀,6.00
마라톤,달리기,7.83
게임,시리즈,5.42
게임,패배,6.17
일곱,시리즈,1.92
해산물,바다,6.75
해산물,음식,7.33
해산물,바닷가재,7.75
바닷가재,음식,7.08
바닷가재,와인,4.83
음식,준비,4.42
비디오,보관소,1.08
시작하다,연도,3.25
시작하다,경기,3.67
게임,라운드,5.42
권투,라운드,5.75
챔피언십,토너먼트,6.67
싸움,패배,5.67
선,보험,1.42
낮,여름,3.00
여름,가뭄,3.92
여름,자연,5.17
낮,새벽,6.25
자연,환경,7.33
환경,생태학,6.75
자연,남자,1.92
남자,여자,7.50
남자,도지사,1.42
살인,과실치사,5.25
막장,드라마,4.58
오페라,공연,6.83
삶,교훈,3.58
초점,삶,2.92
생산,승무원,1.25
텔레비전,영화,4.92
애인,언쟁,2.25
시청자,연속극,4.33
가능성,소녀,1.58
인구,개발,2.25
도덕,중요성,3.42
도덕,결혼,2.33
멕시코,브라질,6.58
성별,평등,4.08
변화,태도,4.50
가족,계획,3.08
오페라,산업,2.08
설탕,접근,0.67
연습,기관,1.42
정부,문화,1.92
문제,도전,4.17
크기,두각,2.17
국가,시민,6.25
행성,사람들,1.92
개발,이슈,3.50
경험,음악,1.92
음악,프로젝트,2.75
유리,금속,4.25
알루미늄,금속,6.42
기회,신용,2.25
전시회,기념품,4.67
콘서트,거장,4.50
락,재즈,6.25
박물관,영화관,4.33
관찰,구조,3.42
우주,세계,5.17
보존,세계,2.83
입장,티켓,5.17
소나기,태풍,6.08
소나기,홍수,6.25
날씨,예보,6.42
재난,지역,5.25
도지사,사무실,2.92
건축,세기,1.75
